ID;Scope;Level 1;Level 2;Level 3;Level 4;Column Text;UOM;GHG/Unit;GHG Conversion Factor 2024;;;
1_100_1000_15_1;Scope 1;Fuels;Gaseous fuels;Butane;;;tonnes;kgCO2e;3033,38067;"call _emissionsRefInsert('Fuels','Gaseous fuels','Butane','tonnes','kgCO2e','Scope 1','3033,38067', '1_100_1000_15_1');";;Gaseous fuels Butane
1_100_1000_15_2;Scope 1;Fuels;Gaseous fuels;Butane;;;tonnes;kg CO2e of CO2 per unit;3029,26000;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','tonnes','1_100_1000_15_3');";;
1_100_1000_15_3;Scope 1;Fuels;Gaseous fuels;Butane;;;tonnes;kg CO2e of CH4 per unit;2,52000;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','tonnes','1_100_1000_15_4');";;
1_100_1000_15_4;Scope 1;Fuels;Gaseous fuels;Butane;;;tonnes;kg CO2e of N2O per unit;1,60067;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','litres','1_100_1000_8_1');";;
1_100_1000_8_1;Scope 1;Fuels;Gaseous fuels;Butane;;;litres;kgCO2e;1,74532;"call _emissionsRefInsert('Fuels','Gaseous fuels','Butane','litres','kgCO2e','Scope 1','1,74532', '1_100_1000_8_1');";;
1_100_1000_8_2;Scope 1;Fuels;Gaseous fuels;Butane;;;litres;kg CO2e of CO2 per unit;1,74296;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','litres','1_100_1000_8_3');";;
1_100_1000_8_3;Scope 1;Fuels;Gaseous fuels;Butane;;;litres;kg CO2e of CH4 per unit;0,00144;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','litres','1_100_1000_8_4');";;
1_100_1000_8_4;Scope 1;Fuels;Gaseous fuels;Butane;;;litres;kg CO2e of N2O per unit;0,00092;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','kWh (Net CV)','1_100_1000_7_1');";;
1_100_1000_7_1;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Net CV);kgCO2e;0,24106;"call _emissionsRefInsert('Fuels','Gaseous fuels','Butane','kWh (Net CV)','kgCO2e','Scope 1','0,24106', '1_100_1000_7_1');";;
1_100_1000_7_2;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Net CV);kg CO2e of CO2 per unit;0,24074;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','kWh (Net CV)','1_100_1000_7_3');";;
1_100_1000_7_3;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00020;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','kWh (Net CV)','1_100_1000_7_4');";;
1_100_1000_7_4;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Net CV);kg CO2e of N2O per unit;0,00012;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','kWh (Gross CV)','1_100_1000_6_1');";;
1_100_1000_6_1;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Gross CV);kgCO2e;0,22241;"call _emissionsRefInsert('Fuels','Gaseous fuels','Butane','kWh (Gross CV)','kgCO2e','Scope 1','0,22241', '1_100_1000_6_1');";;
1_100_1000_6_2;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,22210;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','kWh (Gross CV)','1_100_1000_6_3');";;
1_100_1000_6_3;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00019;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','kWh (Gross CV)','1_100_1000_6_4');";;
1_100_1000_6_4;Scope 1;Fuels;Gaseous fuels;Butane;;;kWh (Gross CV);kg CO2e of N2O per unit;0,00012;"call _emissionsRefInsert('Gaseous fuels Butane','Fuels','tonnes','1_100_1001_15_1');";;
1_100_1001_15_1;Scope 1;Fuels;Gaseous fuels;CNG;;;tonnes;kgCO2e;2568,16441;"call _emissionsRefInsert('Fuels','Gaseous fuels','CNG','tonnes','kgCO2e','Scope 1','2568,16441', '1_100_1001_15_1');";;
1_100_1001_15_2;Scope 1;Fuels;Gaseous fuels;CNG;;;tonnes;kg CO2e of CO2 per unit;2563,12000;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','tonnes','1_100_1001_15_3');";;
1_100_1001_15_3;Scope 1;Fuels;Gaseous fuels;CNG;;;tonnes;kg CO2e of CH4 per unit;3,85280;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','tonnes','1_100_1001_15_4');";;
1_100_1001_15_4;Scope 1;Fuels;Gaseous fuels;CNG;;;tonnes;kg CO2e of N2O per unit;1,19161;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','litres','1_100_1001_8_1');";;
1_100_1001_8_1;Scope 1;Fuels;Gaseous fuels;CNG;;;litres;kgCO2e;0,44942;"call _emissionsRefInsert('Fuels','Gaseous fuels','CNG','litres','kgCO2e','Scope 1','0,44942', '1_100_1001_8_1');";;
1_100_1001_8_2;Scope 1;Fuels;Gaseous fuels;CNG;;;litres;kg CO2e of CO2 per unit;0,44855;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','litres','1_100_1001_8_3');";;
1_100_1001_8_3;Scope 1;Fuels;Gaseous fuels;CNG;;;litres;kg CO2e of CH4 per unit;0,00067;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','litres','1_100_1001_8_4');";;
1_100_1001_8_4;Scope 1;Fuels;Gaseous fuels;CNG;;;litres;kg CO2e of N2O per unit;0,00020;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Net CV)','1_100_1001_7_1');";;
1_100_1001_7_1;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Net CV); ;0,20264;"call _emissionsRefInsert('Fuels','Gaseous fuels','CNG','kWh (Net CV)',' ','Scope 1','0,20264', '1_100_1001_7_1');";;
1_100_1001_7_2;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Net CV);kg CO2e of CO2 per unit;0,20223;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Net CV)','1_100_1001_7_3');";;
1_100_1001_7_3;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00031;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Net CV)','1_100_1001_7_4');";;
1_100_1001_7_4;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Net CV);kg CO2e of N2O per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Gross CV)','1_100_1001_6_1');";;
1_100_1001_6_1;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kgCO2e;0,18290;"call _emissionsRefInsert('Fuels','Gaseous fuels','CNG','kWh (Gross CV)','kgCO2e','Scope 1','0,1829', '1_100_1001_6_1');";;
1_100_1001_6_2;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,18253;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Gross CV)','1_100_1001_6_3');";;
1_100_1001_6_3;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00028;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Gross CV)','1_100_1001_6_4');";;
